Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Home_TablePosDiff_Rolling5,Home_GoalsFor_Rolling5,Home_GoalsAgainst_Rolling5,Home_GoalDifference_Rolling5,Home_Shots_Rolling5,Home_ShotsAgainst_Rolling5,Home_ShotDifference_Rolling5,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTargetAgainst_Rolling5,Home_ShotOnTargetDifference_Rolling5,Home_ShotAccuracy_Rolling5,Home_Corners_Rolling5,Home_CornerDifference_Rolling5,Home_Fouls_Rolling5,Home_FoulDifference_Rolling5,Home_Points_Rolling5,Home_Win_Rolling5,Away_TablePosDiff,Away_TablePosDiff_Rolling5,Away_GoalsFor_Rolling5,Away_GoalsAgainst_Rolling5,Away_GoalDifference_Rolling5,Away_Shots_Rolling5,Away_ShotsAgainst_Rolling5,Away_ShotDifference_Rolling5,Away_ShotsOnTarget_Rolling5,Away_ShotsOnTargetAgainst_Rolling5,Away_ShotOnTargetDifference_Rolling5,Away_ShotAccuracy_Rolling5,Away_Corners_Rolling5,Away_CornerDifference_Rolling5,Away_Fouls_Rolling5,Away_FoulDifference_Rolling5,Away_Points_Rolling5,Away_Win_Rolling5
2017-08-19,00:00,Southampton,West Ham,H,3,2,0,0.0,0.0,0.0,0.0,29.0,4.0,25.0,2.0,0.0,2.0,0.06896551724137931,13.0,13.0,10.0,3.0,1.0,0.5,0,0.0,0.0,4.0,-4.0,9.0,22.0,-13.0,1.0,6.0,-5.0,0.1111111111111111,1.0,-10.0,7.0,12.0,0.0,0.0
2017-08-26,00:00,Bournemouth,Man City,A,1,2,0,0.0,0.0,2.0,-2.0,6.0,19.0,-13.0,2.0,7.0,-5.0,0.3333333333333333,8.0,3.0,6.0,8.0,0.0,0.0,0,0.0,2.0,0.0,2.0,14.0,6.0,8.0,4.0,2.0,2.0,0.2857142857142857,10.0,7.0,9.0,-3.0,3.0,1.0
2017-08-26,00:00,Crystal Palace,Swansea,A,0,2,0,0.0,0.0,3.0,-3.0,14.0,8.0,6.0,4.0,6.0,-2.0,0.2857142857142857,12.0,3.0,7.0,12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,29.0,-25.0,0.0,2.0,-2.0,0.0,0.0,-13.0,13.0,-3.0,1.0,0.5
2017-08-26,00:00,Man United,Leicester,H,2,0,0,0.0,4.0,0.0,4.0,22.0,9.0,13.0,6.0,1.0,5.0,0.2727272727272727,11.0,10.0,19.0,-12.0,3.0,1.0,0,0.0,3.0,4.0,-1.0,6.0,27.0,-21.0,3.0,10.0,-7.0,0.5,4.0,-5.0,12.0,-3.0,0.0,0.0
2017-08-26,00:00,Newcastle,West Ham,H,3,0,0,0.0,0.0,2.0,-2.0,6.0,18.0,-12.0,3.0,6.0,-3.0,0.5,5.0,-2.0,6.0,4.0,0.0,0.0,0,0.0,1.0,3.5,-2.5,12.5,18.0,-5.5,4.5,5.5,-1.0,0.3055555555555556,1.5,-7.5,8.5,10.0,0.0,0.0
2017-08-26,00:00,Watford,Brighton,D,0,0,0,0.0,3.0,3.0,0.0,9.0,14.0,-5.0,4.0,5.0,-1.0,0.4444444444444444,3.0,0.0,14.0,-6.0,1.0,0.5,0,0.0,0.0,2.0,-2.0,5.0,14.0,-9.0,2.0,4.0,-2.0,0.4,2.0,-4.0,10.0,-2.0,0.0,0.0
2017-08-27,00:00,Chelsea,Everton,H,2,0,0,0.0,2.0,3.0,-1.0,19.0,10.0,9.0,6.0,5.0,1.0,0.3157894736842105,8.0,3.0,16.0,-5.0,0.0,0.0,0,0.0,1.0,1.0,0.0,7.0,19.0,-12.0,2.0,6.0,-4.0,0.2857142857142857,1.0,-6.0,9.0,-2.0,1.0,0.5
2017-08-27,00:00,Liverpool,Arsenal,H,4,0,0,0.0,1.0,0.0,1.0,23.0,4.0,19.0,13.0,1.0,12.0,0.5652173913043478,4.0,2.0,12.0,1.0,3.0,1.0,0,0.0,0.0,1.0,-1.0,18.0,11.0,7.0,6.0,4.0,2.0,0.3333333333333333,9.0,7.0,11.0,-5.0,0.0,0.0
2017-08-27,00:00,Tottenham,Burnley,D,1,1,0,0.0,1.0,2.0,-1.0,18.0,9.0,9.0,6.0,2.0,4.0,0.3333333333333333,14.0,11.0,14.0,7.0,0.0,0.0,0,0.0,3.0,2.0,1.0,10.0,19.0,-9.0,5.0,6.0,-1.0,0.5,5.0,-3.0,11.0,5.0,3.0,1.0
2017-08-27,00:00,West Brom,Stoke,D,1,1,0,0.0,1.0,0.0,1.0,16.0,9.0,7.0,6.0,2.0,4.0,0.375,8.0,6.0,15.0,-12.0,3.0,1.0,0,0.0,0.0,1.0,-1.0,9.0,9.0,0.0,1.0,4.0,-3.0,0.1111111111111111,7.0,1.0,10.0,3.0,0.0,0.0
