Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Away_TablePosDiff,Season,Home_Elo,Away_Elo,Elo_Difference,AvgHomeOdds,AvgDrawOdds,AvgAwayOdds,NumBookies,B365HomeOdds,B365DrawOdds,B365AwayOdds,Home_TablePosDiff_Rolling5,Home_GoalsFor_Rolling5,Home_GoalsAgainst_Rolling5,Home_GoalDifference_Rolling5,Home_Shots_Rolling5,Home_ShotsAgainst_Rolling5,Home_ShotDifference_Rolling5,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTargetAgainst_Rolling5,Home_ShotOnTargetDifference_Rolling5,Home_ShotAccuracy_Rolling5,Home_Corners_Rolling5,Home_CornerDifference_Rolling5,Home_Fouls_Rolling5,Home_FoulDifference_Rolling5,Home_Points_Rolling5,Home_Win_Rolling5,Home_xG_Rolling5,Home_xGA_Rolling5,Home_deep_Rolling5,Home_deep_allowed_Rolling5,Home_OpponentElo_Rolling5,Home_TablePosDiff_RollingTeam7,Home_GoalsFor_RollingTeam7,Home_GoalsAgainst_RollingTeam7,Home_GoalDifference_RollingTeam7,Home_Shots_RollingTeam7,Home_ShotsAgainst_RollingTeam7,Home_ShotDifference_RollingTeam7,Home_ShotsOnTarget_RollingTeam7,Home_ShotsOnTargetAgainst_RollingTeam7,Home_ShotOnTargetDifference_RollingTeam7,Home_ShotAccuracy_RollingTeam7,Home_Corners_RollingTeam7,Home_CornerDifference_RollingTeam7,Home_Fouls_RollingTeam7,Home_FoulDifference_RollingTeam7,Home_Points_RollingTeam7,Home_Win_RollingTeam7,Home_xG_RollingTeam7,Home_xGA_RollingTeam7,Home_deep_RollingTeam7,Home_deep_allowed_RollingTeam7,Away_TablePosDiff_Rolling5,Away_GoalsFor_Rolling5,Away_GoalsAgainst_Rolling5,Away_GoalDifference_Rolling5,Away_Shots_Rolling5,Away_ShotsAgainst_Rolling5,Away_ShotDifference_Rolling5,Away_ShotsOnTarget_Rolling5,Away_ShotsOnTargetAgainst_Rolling5,Away_ShotOnTargetDifference_Rolling5,Away_ShotAccuracy_Rolling5,Away_Corners_Rolling5,Away_CornerDifference_Rolling5,Away_Fouls_Rolling5,Away_FoulDifference_Rolling5,Away_Points_Rolling5,Away_Win_Rolling5,Away_xG_Rolling5,Away_xGA_Rolling5,Away_deep_Rolling5,Away_deep_allowed_Rolling5,Away_OpponentElo_Rolling5,Away_TablePosDiff_RollingTeam7,Away_GoalsFor_RollingTeam7,Away_GoalsAgainst_RollingTeam7,Away_GoalDifference_RollingTeam7,Away_Shots_RollingTeam7,Away_ShotsAgainst_RollingTeam7,Away_ShotDifference_RollingTeam7,Away_ShotsOnTarget_RollingTeam7,Away_ShotsOnTargetAgainst_RollingTeam7,Away_ShotOnTargetDifference_RollingTeam7,Away_ShotAccuracy_RollingTeam7,Away_Corners_RollingTeam7,Away_CornerDifference_RollingTeam7,Away_Fouls_RollingTeam7,Away_FoulDifference_RollingTeam7,Away_Points_RollingTeam7,Away_Win_RollingTeam7,Away_xG_RollingTeam7,Away_xGA_RollingTeam7,Away_deep_RollingTeam7,Away_deep_allowed_RollingTeam7
2014-08-30,00:00,Burnley,Man United,D,0.0,0.0,0,0,14-15,1601.95532227,1838.26733398,-236.3120117100002,5.9325,3.935,1.61,8,6.0,4.2,1.62,0.0,1.0,3.0,-2.0,9.0,11.0,-2.0,2.0,3.0,-1.0,0.2222222222222222,4.0,1.0,6.0,1.0,0.0,0.0,0.371141,2.12996,2.0,10.0,,0.0,0.42857142857142855,1.8571428571428572,-1.4285714285714286,10.714285714285714,10.428571428571429,0.2857142857142857,1.4285714285714286,4.142857142857143,-2.7142857142857144,0.14285714285714285,3.4285714285714284,1.0,10.0,1.0,0.0,0.0,0.6409638571428572,1.4352485714285714,6.0,5.428571428571429,0.0,1.0,1.0,0.0,10.0,11.0,-1.0,3.0,3.0,0.0,0.3,4.0,0.0,15.0,-5.0,1.0,0.5,0.941557,0.666489,2.0,4.0,,0.0,1.0,1.4285714285714286,-0.42857142857142855,11.714285714285714,8.428571428571429,3.2857142857142856,3.857142857142857,3.4285714285714284,0.42857142857142855,0.32448979591836735,4.0,1.7142857142857142,14.571428571428571,-0.2857142857142857,0.5714285714285714,0.2857142857142857,1.0378968571428573,0.5000262857142858,4.571428571428571,3.142857142857143
2014-08-30,00:00,Everton,Chelsea,A,3.0,6.0,0,0,14-15,1821.80078125,1922.30566406,-100.50488281000004,3.6175,3.28875,2.1612500000000003,8,3.75,3.3,2.2,0.0,2.0,2.0,0.0,8.0,13.0,-5.0,2.0,3.0,-1.0,0.25,3.0,0.0,10.0,8.0,1.0,0.5,1.33429,1.43355,3.0,8.0,,0.0,2.0,2.0,0.0,10.142857142857142,12.142857142857142,-2.0,2.4285714285714284,3.0,-0.5714285714285714,0.24175824175824176,4.285714285714286,1.2857142857142858,10.0,7.142857142857143,1.0,0.5,1.0252827142857142,1.3670142857142857,8.142857142857142,5.0,0.0,3.0,1.0,2.0,11.0,9.0,2.0,3.0,2.0,1.0,0.2727272727272727,3.0,-1.0,7.0,-1.0,3.0,1.0,2.12996,0.371141,10.0,2.0,,0.0,2.4285714285714284,0.42857142857142855,2.0,20.142857142857142,7.285714285714286,12.857142857142858,7.0,3.142857142857143,3.857142857142857,0.3285233285233285,5.857142857142857,0.14285714285714285,9.285714285714286,-0.42857142857142855,3.0,1.0,2.0724914285714284,0.47385700000000003,11.142857142857142,1.4285714285714286
2014-08-30,00:00,Man City,Stoke,A,0.0,1.0,0,0,14-15,1963.54602051,1682.91967773,280.62634278,1.1925,6.8875,16.68125,8,1.18,8.0,18.0,0.0,3.0,1.0,2.0,9.0,11.0,-2.0,4.0,3.0,1.0,0.4444444444444444,6.0,-1.0,13.0,-6.0,3.0,1.0,1.31375,0.901889,11.0,7.0,,0.0,2.5714285714285716,0.5714285714285714,2.0,10.714285714285714,11.428571428571429,-0.7142857142857143,4.428571428571429,1.7142857142857142,2.7142857142857144,0.4188034188034188,4.714285714285714,-0.5714285714285714,12.142857142857142,-4.714285714285714,3.0,1.0,1.385227142857143,0.9291864285714286,10.142857142857142,6.571428571428571,0.0,1.0,1.0,0.0,19.0,9.0,10.0,3.0,2.0,1.0,0.15789473684210525,5.0,1.0,10.0,0.0,1.0,0.5,1.60916,0.870175,13.0,2.0,,0.0,0.5714285714285714,1.0,-0.42857142857142855,16.0,8.142857142857142,7.857142857142857,2.5714285714285716,2.0,0.5714285714285714,0.16165413533834586,3.7142857142857144,-2.0,11.714285714285714,-2.142857142857143,0.5714285714285714,0.2857142857142857,1.1009634285714285,0.8871460000000001,8.714285714285714,2.857142857142857
2014-08-30,00:00,Newcastle,Crystal Palace,D,3.0,3.0,0,0,14-15,1645.28063965,1609.94445801,35.33618163999995,1.74625,3.56625,5.1975,8,1.75,3.75,5.25,0.0,0.0,2.0,-2.0,12.0,13.0,-1.0,0.0,5.0,-5.0,0.0,3.0,0.0,8.0,3.0,0.0,0.0,0.965583,1.48053,6.0,9.0,,0.0,0.0,0.8571428571428571,-0.8571428571428571,11.428571428571429,10.714285714285714,0.7142857142857143,2.2857142857142856,2.142857142857143,0.14285714285714285,0.2077922077922078,5.285714285714286,0.0,8.0,3.0,0.5714285714285714,0.2857142857142857,0.8134184285714285,0.9245271428571428,6.571428571428571,6.142857142857143,0.0,1.0,2.0,-1.0,4.0,14.0,-10.0,2.0,6.0,-4.0,0.5,3.0,-6.0,19.0,-6.0,0.0,0.0,0.158151,1.55411,0.0,9.0,,0.0,1.0,2.5714285714285716,-1.5714285714285714,6.857142857142857,15.714285714285714,-8.857142857142858,3.142857142857143,7.142857142857143,-4.0,0.46825396825396826,4.714285714285714,-4.285714285714286,16.142857142857142,-4.285714285714286,0.0,0.0,0.4205121428571429,1.4315157142857144,4.0,7.285714285714286
2014-08-30,00:00,QPR,Sunderland,H,1.0,0.0,0,0,14-15,1561.10498047,1650.05383301,-88.94885253999996,2.45125,3.18125,3.0975,8,2.4,3.25,3.3,0.0,0.0,1.0,-1.0,19.0,11.0,8.0,6.0,4.0,2.0,0.3157894736842105,8.0,-1.0,10.0,0.0,0.0,0.0,1.90067,1.11757,1.0,5.0,,0.0,0.0,2.7142857142857144,-2.7142857142857144,13.285714285714286,15.0,-1.7142857142857142,3.142857142857143,4.571428571428571,-1.4285714285714286,0.19883040935672516,6.857142857142857,-1.0,7.714285714285714,3.4285714285714284,0.0,0.0,1.429527142857143,1.8440671428571427,1.5714285714285714,6.714285714285714,0.0,2.0,2.0,0.0,7.0,10.0,-3.0,2.0,5.0,-3.0,0.2857142857142857,3.0,-3.0,9.0,9.0,1.0,0.5,0.991901,1.68343,3.0,6.0,,0.0,1.4285714285714286,1.4285714285714286,0.0,9.285714285714286,10.0,-0.7142857142857143,2.5714285714285716,3.857142857142857,-1.2857142857142858,0.2782931354359926,3.5714285714285716,-1.2857142857142858,9.571428571428571,6.714285714285714,1.0,0.5,0.8059512857142858,1.2595025714285715,3.5714285714285716,3.7142857142857144
2014-08-30,00:00,Swansea,West Brom,H,3.0,0.0,0,0,14-15,1688.98803711,1634.42712402,54.56091308999999,1.86,3.495,4.4775,8,1.85,3.6,4.75,0.0,1.0,0.0,1.0,10.0,12.0,-2.0,5.0,1.0,4.0,0.5,2.0,-1.0,14.0,-1.0,3.0,1.0,0.914215,0.843331,2.0,9.0,,0.0,1.4285714285714286,0.42857142857142855,1.0,7.857142857142857,12.857142857142858,-5.0,4.571428571428571,2.7142857142857144,1.8571428571428572,0.6285714285714287,1.1428571428571428,-2.2857142857142856,16.571428571428573,-3.142857142857143,3.0,1.0,0.6415839999999999,0.9817677142857144,2.0,8.571428571428571,0.0,0.0,0.0,0.0,8.0,8.0,0.0,2.0,2.0,0.0,0.25,5.0,4.0,15.0,-1.0,1.0,0.5,0.665791,0.665853,2.0,5.0,,0.0,0.8571428571428571,0.8571428571428571,0.0,8.857142857142858,7.571428571428571,1.2857142857142858,3.2857142857142856,2.0,1.2857142857142858,0.35714285714285715,5.428571428571429,3.5714285714285716,16.285714285714285,-4.428571428571429,1.0,0.5,1.101922,0.8055878571428572,3.7142857142857144,4.142857142857143
2014-08-30,00:00,West Ham,Southampton,A,1.0,3.0,0,0,14-15,1667.56555176,1709.67651367,-42.110961910000015,2.7375,3.24125,2.69875,8,2.8,3.4,2.7,0.0,0.0,1.0,-1.0,18.0,10.0,8.0,4.0,4.0,0.0,0.2222222222222222,8.0,3.0,12.0,-2.0,0.0,0.0,1.8531,1.01706,9.0,3.0,,0.0,1.7142857142857142,1.0,0.7142857142857143,17.428571428571427,9.428571428571429,8.0,6.285714285714286,4.0,2.2857142857142856,0.3641456582633053,8.571428571428571,3.0,11.428571428571429,0.8571428571428571,1.7142857142857142,0.5714285714285714,1.5596542857142859,0.7886160000000001,7.285714285714286,5.285714285714286,0.0,1.0,2.0,-1.0,12.0,12.0,0.0,6.0,5.0,1.0,0.5,6.0,4.0,11.0,-3.0,0.0,0.0,1.55248,1.33192,9.0,6.0,,0.0,0.42857142857142855,0.8571428571428571,-0.42857142857142855,9.714285714285714,9.714285714285714,0.0,3.7142857142857144,3.2857142857142856,0.42857142857142855,0.35714285714285715,3.142857142857143,-0.5714285714285714,12.714285714285714,-0.7142857142857143,0.5714285714285714,0.2857142857142857,1.045836,0.9512748571428571,6.714285714285714,3.7142857142857144
2014-08-31,00:00,Aston Villa,Hull,H,2.0,1.0,0,0,14-15,1626.03295898,1575.47485352,50.558105460000206,2.27625,3.155,3.46625,8,2.3,3.3,3.5,0.0,0.0,0.0,0.0,9.0,11.0,-2.0,0.0,4.0,-4.0,0.0,7.0,0.0,11.0,-3.0,1.0,0.5,0.507525,0.699295,4.0,7.0,,0.0,0.42857142857142855,0.0,0.42857142857142855,8.142857142857142,11.428571428571429,-3.2857142857142856,0.8571428571428571,3.142857142857143,-2.2857142857142856,0.12244897959183673,7.428571428571429,2.5714285714285716,10.142857142857142,0.42857142857142855,1.8571428571428572,0.7142857142857143,0.6799174285714286,0.5810405714285715,4.0,5.285714285714286,0.0,1.0,0.0,1.0,11.0,19.0,-8.0,4.0,6.0,-2.0,0.36363636363636365,9.0,1.0,10.0,0.0,3.0,1.0,1.11757,1.90067,5.0,1.0,,0.0,1.0,0.5714285714285714,0.42857142857142855,9.857142857142858,19.0,-9.142857142857142,2.857142857142857,4.285714285714286,-1.4285714285714286,0.2828282828282828,6.142857142857143,-0.14285714285714285,10.0,0.0,1.8571428571428572,0.7142857142857143,0.9762014285714287,1.734092857142857,3.2857142857142856,7.857142857142857
2014-08-31,00:00,Leicester,Arsenal,D,1.0,1.0,0,0,14-15,1637.9921875,1867.87097168,-229.8787841799999,4.543749999999999,3.5562500000000004,1.8375,8,4.75,3.75,1.83,0.0,2.0,2.0,0.0,11.0,13.0,-2.0,3.0,3.0,0.0,0.2727272727272727,3.0,-3.0,16.0,-6.0,1.0,0.5,1.2783,0.613273,1.0,15.0,,0.0,0.8571428571428571,2.0,-1.1428571428571428,8.142857142857142,21.0,-12.857142857142858,3.5714285714285716,7.0,-3.4285714285714284,0.4978354978354978,5.285714285714286,-1.8571428571428572,13.142857142857142,-2.5714285714285716,0.42857142857142855,0.21428571428571427,0.8626394285714286,1.4224827142857142,1.0,13.285714285714286,0.0,2.0,2.0,0.0,13.0,8.0,5.0,3.0,2.0,1.0,0.23076923076923078,3.0,0.0,18.0,-8.0,1.0,0.5,1.43355,1.33429,8.0,3.0,,0.0,2.0,1.5714285714285714,0.42857142857142855,13.428571428571429,6.285714285714286,7.142857142857143,4.285714285714286,2.0,2.2857142857142856,0.315541601255887,5.571428571428571,2.5714285714285716,15.857142857142858,-2.0,1.8571428571428572,0.7142857142857143,1.4852185714285717,0.8302304285714285,8.428571428571429,1.7142857142857142
2014-08-31,00:00,Tottenham,Liverpool,A,0.0,3.0,0,0,14-15,1809.38024902,1892.6986084,-83.31835937999995,2.67375,3.335,2.7,8,2.7,3.5,2.7,0.0,4.0,0.0,4.0,18.0,9.0,9.0,5.0,1.0,4.0,0.2777777777777778,7.0,1.0,12.0,-6.0,3.0,1.0,2.38894,1.07617,8.0,2.0,,0.0,2.7142857142857144,0.0,2.7142857142857144,14.571428571428571,12.857142857142858,1.7142857142857142,4.571428571428571,2.2857142857142856,2.2857142857142856,0.3301587301587302,6.142857142857143,-0.7142857142857143,11.142857142857142,-2.5714285714285716,3.0,1.0,1.8009914285714286,1.4091400000000003,5.857142857142857,5.0,0.0,1.0,3.0,-2.0,11.0,9.0,2.0,3.0,4.0,-1.0,0.2727272727272727,7.0,1.0,7.0,6.0,0.0,0.0,0.901889,1.31375,7.0,11.0,,0.0,1.4285714285714286,2.142857142857143,-0.7142857142857143,11.428571428571429,10.285714285714286,1.1428571428571428,3.857142857142857,4.857142857142857,-1.0,0.3344155844155844,4.857142857142857,-1.1428571428571428,7.428571428571429,4.714285714285714,1.2857142857142858,0.42857142857142855,1.086188,1.416062857142857,6.571428571428571,10.142857142857142
