Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Home_TablePosDiff_Rolling5,Home_GoalsFor_Rolling5,Home_GoalsAgainst_Rolling5,Home_GoalDifference_Rolling5,Home_Shots_Rolling5,Home_ShotsAgainst_Rolling5,Home_ShotDifference_Rolling5,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTargetAgainst_Rolling5,Home_ShotOnTargetDifference_Rolling5,Home_ShotAccuracy_Rolling5,Home_Corners_Rolling5,Home_CornerDifference_Rolling5,Home_Fouls_Rolling5,Home_FoulDifference_Rolling5,Home_Points_Rolling5,Home_Win_Rolling5,Away_TablePosDiff,Away_TablePosDiff_Rolling5,Away_GoalsFor_Rolling5,Away_GoalsAgainst_Rolling5,Away_GoalDifference_Rolling5,Away_Shots_Rolling5,Away_ShotsAgainst_Rolling5,Away_ShotDifference_Rolling5,Away_ShotsOnTarget_Rolling5,Away_ShotsOnTargetAgainst_Rolling5,Away_ShotOnTargetDifference_Rolling5,Away_ShotAccuracy_Rolling5,Away_Corners_Rolling5,Away_CornerDifference_Rolling5,Away_Fouls_Rolling5,Away_FoulDifference_Rolling5,Away_Points_Rolling5,Away_Win_Rolling5
2012-09-01,00:00,Man City,QPR,H,3,1,0,0.0,3.0,2.0,1.0,20.0,9.0,11.0,15.0,6.0,9.0,0.75,7.0,4.0,4.0,2.0,3.0,1.0,0,0.0,1.0,1.0,0.0,6.0,13.0,-7.0,4.0,4.0,0.0,0.6666666666666666,2.0,-4.0,14.0,1.0,1.0,0.5
2012-09-01,00:00,Swansea,Sunderland,D,2,2,0,0.0,3.0,0.0,3.0,10.0,7.0,3.0,7.0,6.0,1.0,0.7,5.0,1.0,13.0,4.0,3.0,1.0,0,0.0,0.0,0.0,0.0,3.0,14.0,-11.0,2.0,4.0,-2.0,0.6666666666666666,0.0,-7.0,8.0,4.0,1.0,0.5
2012-09-01,00:00,Tottenham,Norwich,D,1,1,0,0.0,1.0,1.0,0.0,18.0,10.0,8.0,10.0,5.0,5.0,0.5555555555555556,7.0,2.0,8.0,-1.0,1.0,0.5,0,0.0,0.0,5.0,-5.0,4.0,11.0,-7.0,2.0,9.0,-7.0,0.5,3.0,-3.0,11.0,1.0,0.0,0.0
2012-09-01,00:00,West Brom,Everton,H,2,0,0,0.0,3.0,0.0,3.0,15.0,14.0,1.0,10.0,7.0,3.0,0.6666666666666666,7.0,4.0,10.0,1.0,3.0,1.0,0,0.0,3.0,1.0,2.0,19.0,7.0,12.0,11.0,3.0,8.0,0.5789473684210527,9.0,8.0,7.0,3.0,3.0,1.0
2012-09-01,00:00,West Ham,Fulham,H,3,0,0,0.0,1.0,0.0,1.0,8.0,10.0,-2.0,4.0,6.0,-2.0,0.5,6.0,2.0,17.0,-9.0,3.0,1.0,0,0.0,2.0,3.0,-1.0,14.0,20.0,-6.0,11.0,11.0,0.0,0.7857142857142857,8.0,0.0,7.0,5.0,0.0,0.0
2012-09-01,00:00,Wigan,Stoke,D,2,2,0,0.0,0.0,2.0,-2.0,12.0,5.0,7.0,4.0,3.0,1.0,0.3333333333333333,7.0,6.0,16.0,-5.0,0.0,0.0,0,0.0,1.0,1.0,0.0,6.0,9.0,-3.0,3.0,3.0,0.0,0.5,3.0,-1.0,14.0,-5.0,1.0,0.5
2012-09-02,00:00,Liverpool,Arsenal,A,0,2,0,0.0,2.0,2.0,0.0,15.0,11.0,4.0,8.0,5.0,3.0,0.5333333333333333,4.0,0.0,10.0,-3.0,1.0,0.5,0,0.0,0.0,0.0,0.0,16.0,7.0,9.0,6.0,4.0,2.0,0.375,11.0,11.0,9.0,0.0,1.0,0.5
2012-09-02,00:00,Newcastle,Aston Villa,D,1,1,0,0.0,2.0,1.0,1.0,6.0,12.0,-6.0,4.0,6.0,-2.0,0.6666666666666666,3.0,-2.0,12.0,-4.0,3.0,1.0,0,0.0,0.0,1.0,-1.0,10.0,8.0,2.0,6.0,4.0,2.0,0.6,4.0,-2.0,8.0,9.0,0.0,0.0
2012-09-02,00:00,Southampton,Man United,A,2,3,0,0.0,0.0,2.0,-2.0,14.0,12.0,2.0,9.0,8.0,1.0,0.6428571428571429,10.0,7.0,11.0,-2.0,0.0,0.0,0,0.0,0.0,1.0,-1.0,12.0,16.0,-4.0,7.0,7.0,0.0,0.5833333333333334,8.0,2.0,11.0,1.0,0.0,0.0
2012-09-15,00:00,Arsenal,Southampton,H,6,1,12,0.0,0.0,0.0,0.0,14.0,3.0,11.0,4.0,2.0,2.0,0.2857142857142857,7.0,7.0,12.0,-4.0,1.0,0.5,-12,0.0,2.0,3.0,-1.0,9.0,20.0,-11.0,6.0,15.0,-9.0,0.6666666666666666,3.0,-4.0,6.0,-2.0,0.0,0.0
