Date,Time,HomeTeam,AwayTeam,FTR,FTHG,FTAG,Home_TablePosDiff,Home_TablePosDiff_Rolling5,Home_TablePosDiff_Rolling10,Home_GoalsFor_Rolling5,Home_GoalsFor_Rolling10,Home_Shots_Rolling5,Home_Shots_Rolling10,Home_ShotsOnTarget_Rolling5,Home_ShotsOnTarget_Rolling10,Home_Corners_Rolling5,Home_Corners_Rolling10,Home_Fouls_Rolling5,Home_Fouls_Rolling10,Home_TablePosDiff_Rolling5_all,Home_TablePosDiff_Rolling10_all,Home_GoalsFor_Rolling5_all,Home_GoalsFor_Rolling10_all,Home_Shots_Rolling5_all,Home_Shots_Rolling10_all,Home_ShotsOnTarget_Rolling5_all,Home_ShotsOnTarget_Rolling10_all,Home_Corners_Rolling5_all,Home_Corners_Rolling10_all,Home_Fouls_Rolling5_all,Home_Fouls_Rolling10_all,Home_Points_Rolling5,Home_Points_Rolling10,Home_Points_Rolling5_all,Home_Points_Rolling10_all,Home_Win_Rolling5,Home_Win_Rolling10,Home_Win_Rolling5_all,Home_Win_Rolling10_all,TablePosDiff,TablePosDiff_Rolling5,TablePosDiff_Rolling10,GoalsFor_Rolling5,GoalsFor_Rolling10,Shots_Rolling5,Shots_Rolling10,ShotsOnTarget_Rolling5,ShotsOnTarget_Rolling10,Corners_Rolling5,Corners_Rolling10,Fouls_Rolling5,Fouls_Rolling10,TablePosDiff_Rolling5_all,TablePosDiff_Rolling10_all,GoalsFor_Rolling5_all,GoalsFor_Rolling10_all,Shots_Rolling5_all,Shots_Rolling10_all,ShotsOnTarget_Rolling5_all,ShotsOnTarget_Rolling10_all,Corners_Rolling5_all,Corners_Rolling10_all,Fouls_Rolling5_all,Fouls_Rolling10_all,Points_Rolling5,Points_Rolling10,Points_Rolling5_all,Points_Rolling10_all,Win_Rolling5,Win_Rolling10,Win_Rolling5_all,Win_Rolling10_all
2024-08-31,12:30,Arsenal,Brighton,D,1,1,0,0.0,0.0,2.0,2.0,18.0,18.0,6.0,6.0,8.0,8.0,17.0,17.0,0.0,0.0,2.0,2.0,13.5,13.5,5.0,5.0,4.5,4.5,16.0,16.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0,0.0,0.0,3.0,3.0,10.0,10.0,5.0,5.0,5.0,5.0,8.0,8.0,0.0,0.0,2.5,2.5,12.0,12.0,5.0,5.0,4.5,4.5,8.5,8.5,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
2024-08-31,15:00,Brentford,Southampton,H,3,1,0,0.0,0.0,2.0,2.0,9.0,9.0,5.0,5.0,4.0,4.0,6.0,6.0,0.0,0.0,1.0,1.0,8.5,8.5,3.5,3.5,4.0,4.0,6.5,6.5,3.0,3.0,1.5,1.5,1.0,1.0,0.5,0.5,0,0.0,0.0,0.0,0.0,19.0,19.0,4.0,4.0,12.0,12.0,16.0,16.0,0.0,0.0,0.0,0.0,12.0,12.0,2.5,2.5,8.0,8.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,15:00,Everton,Bournemouth,A,2,3,0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,9.5,9.5,1.0,1.0,3.0,3.0,11.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,13.0,13.0,4.0,4.0,6.0,6.0,8.0,8.0,0.0,0.0,1.0,1.0,14.5,14.5,4.0,4.0,7.0,7.0,13.5,13.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2024-08-31,15:00,Ipswich,Fulham,D,1,1,0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,2.0,9.0,9.0,0.0,0.0,0.5,0.5,4.0,4.0,1.5,1.5,1.5,1.5,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,2.0,8.0,8.0,10.0,10.0,0.0,0.0,1.0,1.0,14.0,14.0,4.0,4.0,7.5,7.5,12.0,12.0,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.5
2024-08-31,15:00,Leicester,Aston Villa,A,1,2,0,0.0,0.0,1.0,1.0,7.0,7.0,3.0,3.0,2.0,2.0,11.0,11.0,0.0,0.0,1.0,1.0,8.5,8.5,3.5,3.5,3.5,3.5,12.0,12.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0,0.0,0.0,2.0,2.0,15.0,15.0,3.0,3.0,3.0,3.0,11.0,11.0,0.0,0.0,1.0,1.0,13.0,13.0,3.0,3.0,3.5,3.5,9.5,9.5,3.0,3.0,1.5,1.5,1.0,1.0,0.5,0.5
2024-08-31,15:00,Nott'm Forest,Wolves,D,1,1,0,0.0,0.0,1.0,1.0,14.0,14.0,8.0,8.0,2.0,2.0,17.0,17.0,0.0,0.0,1.0,1.0,18.5,18.5,8.0,8.0,6.0,6.0,15.5,15.5,1.0,1.0,2.0,2.0,0.5,0.5,0.75,0.75,0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,3.0,2.0,2.0,14.0,14.0,0.0,0.0,1.0,1.0,10.5,10.5,3.5,3.5,3.5,3.5,13.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,17:30,West Ham,Man City,A,1,3,0,0.0,0.0,1.0,1.0,14.0,14.0,3.0,3.0,5.0,5.0,18.0,18.0,0.0,0.0,1.5,1.5,16.0,16.0,3.0,3.0,4.0,4.0,17.5,17.5,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.5,0,0.0,0.0,2.0,2.0,11.0,11.0,5.0,5.0,3.0,3.0,9.0,9.0,0.0,0.0,3.0,3.0,12.5,12.5,5.0,5.0,6.5,6.5,6.5,6.5,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
2024-09-01,13:30,Chelsea,Crystal Palace,D,1,1,0,0.0,0.0,0.0,0.0,10.0,10.0,3.0,3.0,4.0,4.0,12.0,12.0,0.0,0.0,3.0,3.0,12.0,12.0,5.5,5.5,4.5,4.5,12.5,12.5,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.5,0,0.0,0.0,1.0,1.0,14.0,14.0,6.0,6.0,7.0,7.0,15.0,15.0,0.0,0.0,0.5,0.5,14.0,14.0,4.0,4.0,5.0,5.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,13:30,Newcastle,Tottenham,H,2,1,0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,15.0,15.0,0.0,0.0,1.0,1.0,8.5,8.5,3.0,3.0,6.0,6.0,11.5,11.5,3.0,3.0,2.0,2.0,1.0,1.0,0.75,0.75,0,0.0,0.0,1.0,1.0,15.0,15.0,7.0,7.0,13.0,13.0,12.0,12.0,0.0,0.0,2.5,2.5,14.0,14.0,7.0,7.0,12.5,12.5,11.5,11.5,1.0,1.0,2.0,2.0,0.5,0.5,0.75,0.75
2024-09-01,16:00,Man United,Liverpool,A,0,3,0,0.0,0.0,1.0,1.0,14.0,14.0,5.0,5.0,7.0,7.0,12.0,12.0,0.0,0.0,1.0,1.0,12.5,12.5,4.5,4.5,5.5,5.5,12.5,12.5,3.0,3.0,1.5,1.5,1.0,1.0,0.5,0.5,0,0.0,0.0,2.0,2.0,18.0,18.0,5.0,5.0,10.0,10.0,18.0,18.0,0.0,0.0,2.0,2.0,18.5,18.5,6.5,6.5,9.5,9.5,14.0,14.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
2024-09-14,12:30,Southampton,Man United,A,0,3,-5,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,4.0,4.0,14.0,14.0,0.0,0.0,0.3333333333333333,0.3333333333333333,14.0,14.0,3.6666666666666665,3.6666666666666665,8.0,8.0,12.333333333333334,12.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,1.0,1.0,11.0,11.0,4.0,4.0,4.0,4.0,13.0,13.0,0.0,0.0,0.6666666666666666,0.6666666666666666,11.0,11.0,4.0,4.0,5.333333333333333,5.333333333333333,10.666666666666666,10.666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333
2024-09-14,15:00,Brighton,Ipswich,D,0,0,14,0.0,0.0,2.0,2.0,14.0,14.0,5.0,5.0,4.0,4.0,9.0,9.0,0.0,0.0,2.0,2.0,15.333333333333334,15.333333333333334,4.666666666666667,4.666666666666667,5.333333333333333,5.333333333333333,8.0,8.0,3.0,3.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.8333333333333334,0.8333333333333334,-14,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,0.0,0.0,0.6666666666666666,0.6666666666666666,6.333333333333333,6.333333333333333,2.3333333333333335,2.3333333333333335,3.6666666666666665,3.6666666666666665,13.0,13.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666
2024-09-14,15:00,Crystal Palace,Leicester,D,2,2,-1,0.0,0.0,0.0,0.0,14.0,14.0,2.0,2.0,3.0,3.0,9.0,9.0,0.0,0.0,0.6666666666666666,0.6666666666666666,12.333333333333334,12.333333333333334,3.6666666666666665,3.6666666666666665,5.0,5.0,12.333333333333334,12.333333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,1,0.0,0.0,1.0,1.0,10.0,10.0,4.0,4.0,5.0,5.0,13.0,13.0,0.0,0.0,1.0,1.0,8.666666666666666,8.666666666666666,3.3333333333333335,3.3333333333333335,2.6666666666666665,2.6666666666666665,12.333333333333334,12.333333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666
2024-09-14,15:00,Fulham,West Ham,D,1,1,1,0.0,0.0,2.0,2.0,18.0,18.0,6.0,6.0,7.0,7.0,14.0,14.0,0.0,0.0,1.0,1.0,12.333333333333334,12.333333333333334,4.0,4.0,7.0,7.0,13.0,13.0,3.0,3.0,1.3333333333333333,1.3333333333333333,1.0,1.0,0.5,0.5,-1,0.0,0.0,2.0,2.0,18.0,18.0,3.0,3.0,3.0,3.0,17.0,17.0,0.0,0.0,1.3333333333333333,1.3333333333333333,14.0,14.0,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.6666666666666665,15.0,15.0,3.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333
2024-09-14,15:00,Liverpool,Nott'm Forest,A,0,1,8,0.0,0.0,2.0,2.0,19.0,19.0,8.0,8.0,9.0,9.0,10.0,10.0,0.0,0.0,2.3333333333333335,2.3333333333333335,16.0,16.0,5.333333333333333,5.333333333333333,7.0,7.0,11.666666666666666,11.666666666666666,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,-8,0.0,0.0,1.0,1.0,23.0,23.0,8.0,8.0,10.0,10.0,14.0,14.0,0.0,0.0,1.0,1.0,17.666666666666668,17.666666666666668,7.0,7.0,6.333333333333333,6.333333333333333,15.333333333333334,15.333333333333334,3.0,3.0,1.6666666666666667,1.6666666666666667,1.0,1.0,0.6666666666666666,0.6666666666666666
2024-09-14,15:00,Man City,Brentford,H,2,1,6,0.0,0.0,4.0,4.0,14.0,14.0,5.0,5.0,10.0,10.0,4.0,4.0,0.0,0.0,3.0,3.0,16.0,16.0,6.0,6.0,8.0,8.0,5.333333333333333,5.333333333333333,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,-6,0.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,4.0,4.0,7.0,7.0,0.0,0.0,1.6666666666666667,1.6666666666666667,12.333333333333334,12.333333333333334,4.666666666666667,4.666666666666667,3.3333333333333335,3.3333333333333335,7.666666666666667,7.666666666666667,0.0,0.0,2.0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666
2024-09-14,17:30,Aston Villa,Everton,H,3,2,11,0.0,0.0,0.0,0.0,11.0,11.0,3.0,3.0,4.0,4.0,8.0,8.0,0.0,0.0,1.3333333333333333,1.3333333333333333,12.0,12.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,13.333333333333334,13.333333333333334,0.0,0.0,2.0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666,-11,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,5.0,5.0,15.0,15.0,0.0,0.0,0.6666666666666666,0.6666666666666666,12.333333333333334,12.333333333333334,3.3333333333333335,3.3333333333333335,4.666666666666667,4.666666666666667,9.666666666666666,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-14,20:00,Bournemouth,Chelsea,A,0,1,3,0.0,0.0,1.0,1.0,16.0,16.0,4.0,4.0,8.0,8.0,19.0,19.0,0.0,0.0,1.6666666666666667,1.6666666666666667,15.333333333333334,15.333333333333334,5.0,5.0,6.0,6.0,9.333333333333334,9.333333333333334,1.0,1.0,1.6666666666666667,1.6666666666666667,0.5,0.5,0.6666666666666666,0.6666666666666666,-3,0.0,0.0,6.0,6.0,14.0,14.0,8.0,8.0,5.0,5.0,13.0,13.0,0.0,0.0,2.3333333333333335,2.3333333333333335,12.333333333333334,12.333333333333334,6.0,6.0,4.333333333333333,4.333333333333333,11.333333333333334,11.333333333333334,3.0,3.0,1.3333333333333333,1.3333333333333333,1.0,1.0,0.5,0.5
2024-09-15,14:00,Tottenham,Arsenal,A,0,1,-7,0.0,0.0,4.0,4.0,13.0,13.0,7.0,7.0,12.0,12.0,11.0,11.0,0.0,0.0,2.0,2.0,16.0,16.0,6.666666666666667,6.666666666666667,12.333333333333334,12.333333333333334,12.0,12.0,3.0,3.0,1.3333333333333333,1.3333333333333333,1.0,1.0,0.5,0.5,7,0.0,0.0,2.0,2.0,9.0,9.0,4.0,4.0,1.0,1.0,15.0,15.0,0.0,0.0,1.6666666666666667,1.6666666666666667,12.666666666666666,12.666666666666666,5.666666666666667,5.666666666666667,4.0,4.0,14.666666666666666,14.666666666666666,3.0,3.0,2.3333333333333335,2.3333333333333335,1.0,1.0,0.8333333333333334,0.8333333333333334
2024-09-15,16:30,Wolves,Newcastle,A,1,2,-10,0.0,0.0,2.0,2.0,12.0,12.0,4.0,4.0,5.0,5.0,13.0,13.0,0.0,0.0,1.0,1.0,10.666666666666666,10.666666666666666,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,15.0,15.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,10,0.0,0.0,1.0,1.0,14.0,14.0,5.0,5.0,9.0,9.0,8.0,8.0,0.0,0.0,1.3333333333333333,1.3333333333333333,8.666666666666666,8.666666666666666,3.0,3.0,6.333333333333333,6.333333333333333,13.0,13.0,1.0,1.0,2.3333333333333335,2.3333333333333335,0.5,0.5,0.8333333333333334,0.8333333333333334
2024-09-21,12:30,West Ham,Chelsea,A,0,3,-6,0.0,0.0,1.0,1.0,12.0,12.0,2.5,2.5,4.0,4.0,14.0,14.0,-0.25,-0.25,1.25,1.25,13.25,13.25,2.75,2.75,3.25,3.25,15.75,15.75,0.0,0.0,1.0,1.0,0.0,0.0,0.375,0.375,6,-1.5,-1.5,3.5,3.5,12.0,12.0,5.5,5.5,4.0,4.0,11.0,11.0,-0.75,-0.75,2.0,2.0,11.75,11.75,5.25,5.25,4.0,4.0,10.75,10.75,3.0,3.0,1.75,1.75,1.0,1.0,0.625,0.625
2024-09-21,15:00,Aston Villa,Wolves,H,3,1,12,5.5,5.5,1.5,1.5,14.0,14.0,5.5,5.5,5.0,5.0,9.0,9.0,2.75,2.75,1.75,1.75,13.25,13.25,4.75,4.75,4.25,4.25,12.5,12.5,1.5,1.5,2.25,2.25,0.5,0.5,0.75,0.75,-12,0.0,0.0,0.5,0.5,10.0,10.0,3.0,3.0,2.5,2.5,16.0,16.0,-2.5,-2.5,1.0,1.0,11.0,11.0,3.75,3.75,3.5,3.5,15.5,15.5,0.5,0.5,0.25,0.25,0.25,0.25,0.125,0.125
